# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
cycle-5dn-station	cycle-5dn-station
cycle-a25-allied-enhanced	cycle-a25-allied-enhanced
cycle-a25-draft-signpost	cycle-a25-draft-signpost
cycle-a25-r-two-color	cycle-a25-r-two-color
cycle-a25-same-name-enhanced	cycle-a25-same-name-enhanced
cycle-a25-u-legend	cycle-a25-u-legend
cycle-abu-dual-land	cycle-abu-dual-land
cycle-acr-auto-equip	cycle-acr-auto-equip
cycle-acr-saga	cycle-acr-saga
cycle-aer-aether-servo-creator	cycle-aer-aether-servo-creator
cycle-aer-automaton	cycle-aer-automaton
cycle-aer-draft-signpost	cycle-aer-draft-signpost
cycle-aer-expertise	cycle-aer-expertise
cycle-aer-implement	cycle-aer-implement
cycle-aer-legend	cycle-aer-legend
cycle-aer-precon-tutor	cycle-aer-precon-tutor
cycle-afc-alt-commander	cycle-afc-alt-commander
cycle-afc-d20-spell	cycle-afc-d20-spell
cycle-afc-endeavor	cycle-afc-endeavor
cycle-afc-face-commander	cycle-afc-face-commander
cycle-afr-chromatic-dragon	cycle-afr-chromatic-dragon
cycle-afr-color-hate	cycle-afr-color-hate
cycle-afr-creatureland	cycle-afr-creatureland
cycle-afr-m-dragon	cycle-afr-m-dragon
cycle-afr-planeswalker	cycle-afr-planeswalker
cycle-afr-u-class	cycle-afr-u-class
cycle-afr-u-legend	cycle-afr-u-legend
cycle-akh-allied-aftermath	cycle-akh-allied-aftermath
cycle-akh-cartouche	cycle-akh-cartouche
cycle-akh-cycle-effect	cycle-akh-cycle-effect
cycle-akh-draft-signpost	cycle-akh-draft-signpost
cycle-akh-dual-cycling-land	cycle-akh-dual-cycling-land
cycle-akh-enemy-aftermath	cycle-akh-enemy-aftermath
cycle-akh-god	cycle-akh-god
cycle-akh-monocolor-aftermath	cycle-akh-monocolor-aftermath
cycle-akh-monument	cycle-akh-monument
cycle-akh-trial	cycle-akh-trial
cycle-ala-4mnno	cycle-ala-4mnno
cycle-ala-allied-2-drop	cycle-ala-allied-2-drop
cycle-ala-backward-ability	cycle-ala-backward-ability
cycle-ala-battlemage	cycle-ala-battlemage
cycle-ala-c-1-drop	cycle-ala-c-1-drop
cycle-ala-c-tricolor	cycle-ala-c-tricolor
cycle-ala-c-two-color	cycle-ala-c-two-color
cycle-ala-charm	cycle-ala-charm
cycle-ala-esper-capsule	cycle-ala-esper-capsule
cycle-ala-forward-ability	cycle-ala-forward-ability
cycle-ala-herald	cycle-ala-herald
cycle-ala-jund-scavenger	cycle-ala-jund-scavenger
cycle-ala-legend	cycle-ala-legend
cycle-ala-naya-cycler	cycle-ala-naya-cycler
cycle-ala-naya-druid	cycle-ala-naya-druid
cycle-ala-naya-soul-spell	cycle-ala-naya-soul-spell
cycle-ala-obelisk	cycle-ala-obelisk
cycle-ala-panorama	cycle-ala-panorama
cycle-ala-r-tricolor	cycle-ala-r-tricolor
cycle-ala-resounding-spell	cycle-ala-resounding-spell
cycle-ala-shard-ultimatum	cycle-ala-shard-ultimatum
cycle-ala-shardland	cycle-ala-shardland
cycle-ala-u-tricolor	cycle-ala-u-tricolor
cycle-ala-u-two-color	cycle-ala-u-two-color
cycle-all-enemy-hate	cycle-all-enemy-hate
cycle-all-pitch-spell	cycle-all-pitch-spell
cycle-all-r-tricolor	cycle-all-r-tricolor
cycle-all-replacement-land	cycle-all-replacement-land
cycle-all-u-two-color	cycle-all-u-two-color
cycle-apc-bloodfire-vertical	cycle-apc-bloodfire-vertical
cycle-apc-c-two-color	cycle-apc-c-two-color
cycle-apc-disciple	cycle-apc-disciple
cycle-apc-envoy	cycle-apc-envoy
cycle-apc-painland	cycle-apc-painland
cycle-apc-penumbra-vertical	cycle-apc-penumbra-vertical
cycle-apc-phyrexian-vertical	cycle-apc-phyrexian-vertical
cycle-apc-r-tricolor	cycle-apc-r-tricolor
cycle-apc-r-two-color	cycle-apc-r-two-color
cycle-apc-sanctuary	cycle-apc-sanctuary
cycle-apc-split-card	cycle-apc-split-card
cycle-apc-u-two-color	cycle-apc-u-two-color
cycle-apc-volver	cycle-apc-volver
cycle-apc-whirlpool-vertical	cycle-apc-whirlpool-vertical
cycle-arb-allied-equipment	cycle-arb-allied-equipment
cycle-arb-borderposts	cycle-arb-borderposts
cycle-arb-c-cascade	cycle-arb-c-cascade
cycle-arb-c-enemy	cycle-arb-c-enemy
cycle-arb-c-hybrid-gold	cycle-arb-c-hybrid-gold
cycle-arb-crossed-shard	cycle-arb-crossed-shard
cycle-arb-dual-landcycler	cycle-arb-dual-landcycler
cycle-arb-hybrid-cycler	cycle-arb-hybrid-cycler
cycle-arb-legend	cycle-arb-legend
cycle-arb-shard-blade	cycle-arb-shard-blade
cycle-arb-sojourner	cycle-arb-sojourner
cycle-arb-u-cascade	cycle-arb-u-cascade
cycle-arb-u-hybrid-gold	cycle-arb-u-hybrid-gold
cycle-arb-u-tricolor	cycle-arb-u-tricolor
cycle-arch-charm	cycle-arch-charm
cycle-arn-djinn	cycle-arn-djinn
cycle-arn-efreet	cycle-arn-efreet
cycle-ascendancy	cycle-ascendancy
cycle-avr-legend-angel	cycle-avr-legend-angel
cycle-avr-r-miracle	cycle-avr-r-miracle
cycle-avr-u-miracle	cycle-avr-u-miracle
cycle-basic-snow-land	cycle-basic-snow-land
cycle-bbd-bond-land	cycle-bbd-bond-land
cycle-bbd-c-two-color	cycle-bbd-c-two-color
cycle-bbd-draft-signpost	cycle-bbd-draft-signpost
cycle-bbd-friend-foe	cycle-bbd-friend-foe
cycle-bbd-legendary-partner	cycle-bbd-legendary-partner
cycle-bbd-r-two-color	cycle-bbd-r-two-color
cycle-bbd-u-partner	cycle-bbd-u-partner
cycle-bfz-blighted-land	cycle-bfz-blighted-land
cycle-bfz-color-landfall	cycle-bfz-color-landfall
cycle-bfz-draft-signpost	cycle-bfz-draft-signpost
cycle-bfz-landfall-2-2-pump	cycle-bfz-landfall-2-2-pump
cycle-bfz-retreat	cycle-bfz-retreat
cycle-bfz-tangoland	cycle-bfz-tangoland
cycle-bfz-utilityland	cycle-bfz-utilityland
cycle-blb-c-gift	cycle-blb-c-gift
cycle-blb-c-offspring	cycle-blb-c-offspring
cycle-blb-c-typal-boost	cycle-blb-c-typal-boost
cycle-blb-draft-signpost	cycle-blb-draft-signpost
cycle-blb-duo	cycle-blb-duo
cycle-blb-hybrid	cycle-blb-hybrid
cycle-blb-m-mono-calamity	cycle-blb-m-mono-calamity
cycle-blb-r-talent	cycle-blb-r-talent
cycle-blb-r-two-color-legend	cycle-blb-r-two-color-legend
cycle-blb-season	cycle-blb-season
cycle-blb-u-offspring	cycle-blb-u-offspring
cycle-blb-u-talent	cycle-blb-u-talent
cycle-blb-u-typal	cycle-blb-u-typal
cycle-blb-valley-caller	cycle-blb-valley-caller
cycle-blb-village	cycle-blb-village
cycle-blc-alt-commander	cycle-blc-alt-commander
cycle-blc-face-commander	cycle-blc-face-commander
cycle-blc-talent	cycle-blc-talent
cycle-block-bfz-creatureland	cycle-block-bfz-creatureland
cycle-block-grn-c-guild-kw	cycle-block-grn-c-guild-kw
cycle-block-grn-guild-champion	cycle-block-grn-guild-champion
cycle-block-grn-guildmage	cycle-block-grn-guildmage
cycle-block-grn-guildmaster	cycle-block-grn-guildmaster
cycle-block-grn-hybrid-critter	cycle-block-grn-hybrid-critter
cycle-block-grn-locket	cycle-block-grn-locket
cycle-block-grn-mmnn	cycle-block-grn-mmnn
cycle-block-grn-r-split	cycle-block-grn-r-split
cycle-block-grn-u-split	cycle-block-grn-u-split
cycle-block-inv-counterspell	cycle-block-inv-counterspell
cycle-block-rav-c-hybrid	cycle-block-rav-c-hybrid
cycle-block-rav-colors-matter	cycle-block-rav-colors-matter
cycle-block-rav-guild-champion	cycle-block-rav-guild-champion
cycle-block-rav-guildmage	cycle-block-rav-guildmage
cycle-block-rav-mnn	cycle-block-rav-mnn
cycle-block-rav-r-hybrid	cycle-block-rav-r-hybrid
cycle-block-rtr-c-hybrid	cycle-block-rtr-c-hybrid
cycle-block-rtr-guild-charm	cycle-block-rtr-guild-charm
cycle-block-rtr-guildmage	cycle-block-rtr-guildmage
cycle-block-rtr-guildmaster	cycle-block-rtr-guildmaster
cycle-block-rtr-m-multicolor	cycle-block-rtr-m-multicolor
cycle-block-rtr-off-color	cycle-block-rtr-off-color
cycle-block-rtr-r-hybrid	cycle-block-rtr-r-hybrid
cycle-block-rtr-u-guild-kw	cycle-block-rtr-u-guild-kw
cycle-block-rtr-u-hybrid	cycle-block-rtr-u-hybrid
cycle-block-shm-c-h-1-drop	cycle-block-shm-c-h-1-drop
cycle-block-shm-u-h-3-drop	cycle-block-shm-u-h-3-drop
cycle-block-ths-minor-god	cycle-block-ths-minor-god
cycle-block-ths-scry-land	cycle-block-ths-scry-land
cycle-block-zen-monocolor-pw	cycle-block-zen-monocolor-pw
cycle-bng-archetype	cycle-bng-archetype
cycle-bng-devotion-x	cycle-bng-devotion-x
cycle-bng-draft-signpost	cycle-bng-draft-signpost
cycle-bng-enemy-ability	cycle-bng-enemy-ability
cycle-bng-fated-spell	cycle-bng-fated-spell
cycle-bng-inspired-token	cycle-bng-inspired-token
cycle-bng-minor-god	cycle-bng-minor-god
cycle-bng-nyxborn	cycle-bng-nyxborn
cycle-bng-tapping-aura	cycle-bng-tapping-aura
cycle-bng-u-bestow	cycle-bng-u-bestow
cycle-bng-u-tribute	cycle-bng-u-tribute
cycle-bok-baku	cycle-bok-baku
cycle-bok-flip-creature	cycle-bok-flip-creature
cycle-bok-genju	cycle-bok-genju
cycle-bok-glasskite-vertical	cycle-bok-glasskite-vertical
cycle-bok-kami-patron	cycle-bok-kami-patron
cycle-bok-m-sac-spirit	cycle-bok-m-sac-spirit
cycle-bok-nomana-splice-arcane	cycle-bok-nomana-splice-arcane
cycle-bok-shoal	cycle-bok-shoal
cycle-bondland	cycle-bondland
cycle-bro-basic-land-count	cycle-bro-basic-land-count
cycle-bro-c-mulch	cycle-bro-c-mulch
cycle-bro-command	cycle-bro-command
cycle-bro-draft-signpost	cycle-bro-draft-signpost
cycle-bro-m-color-artifact	cycle-bro-m-color-artifact
cycle-bro-meld	cycle-bro-meld
cycle-bro-mishra-vertical	cycle-bro-mishra-vertical
cycle-bro-tron-worker	cycle-bro-tron-worker
cycle-bro-urza-vertical	cycle-bro-urza-vertical
cycle-c13-alt-commander	cycle-c13-alt-commander
cycle-c13-curse	cycle-c13-curse
cycle-c13-face-commander	cycle-c13-face-commander
cycle-c13-reprint-commander	cycle-c13-reprint-commander
cycle-c13-tempting-offer	cycle-c13-tempting-offer
cycle-c14-alt-commander	cycle-c14-alt-commander
cycle-c14-historical-legend	cycle-c14-historical-legend
cycle-c14-lieutenant	cycle-c14-lieutenant
cycle-c14-offering	cycle-c14-offering
cycle-c14-planeswalker	cycle-c14-planeswalker
cycle-c15-alt-commander	cycle-c15-alt-commander
cycle-c15-commander-reference	cycle-c15-commander-reference
cycle-c15-confluence	cycle-c15-confluence
cycle-c15-experience-commander	cycle-c15-experience-commander
cycle-c15-myriad-creature	cycle-c15-myriad-creature
cycle-c15-reprint-commander	cycle-c15-reprint-commander
cycle-c16-basic-landcycling	cycle-c16-basic-landcycling
cycle-c16-face-commander	cycle-c16-face-commander
cycle-c16-m-partner	cycle-c16-m-partner
cycle-c16-r-partner	cycle-c16-r-partner
cycle-c16-u-monocolor	cycle-c16-u-monocolor
cycle-c16-undaunted-spell	cycle-c16-undaunted-spell
cycle-c17-alt-commander	cycle-c17-alt-commander
cycle-c17-curse	cycle-c17-curse
cycle-c17-eminence-commander	cycle-c17-eminence-commander
cycle-c17-kindred-spell	cycle-c17-kindred-spell
cycle-c18-alt-commander	cycle-c18-alt-commander
cycle-c18-commander-storm	cycle-c18-commander-storm
cycle-c18-lieutenant	cycle-c18-lieutenant
cycle-c18-planeswalker	cycle-c18-planeswalker
cycle-c18-signature-spell	cycle-c18-signature-spell
cycle-c18-sub-commander	cycle-c18-sub-commander
cycle-c19-alt-commander	cycle-c19-alt-commander
cycle-c19-face-commander	cycle-c19-face-commander
cycle-c19-planeswalker	cycle-c19-planeswalker
cycle-c19-secondary-commander	cycle-c19-secondary-commander
cycle-c19-signature-spell	cycle-c19-signature-spell
cycle-c20-alt-commander	cycle-c20-alt-commander
cycle-c20-bonder-partner	cycle-c20-bonder-partner
cycle-c20-face-commander	cycle-c20-face-commander
cycle-c20-free-spell	cycle-c20-free-spell
cycle-c20-impetus	cycle-c20-impetus
cycle-c20-monster-partner	cycle-c20-monster-partner
cycle-c20-planeswalker	cycle-c20-planeswalker
cycle-c21-alt-commander	cycle-c21-alt-commander
cycle-c21-college-spell	cycle-c21-college-spell
cycle-c21-face-commander	cycle-c21-face-commander
cycle-c21-mono-legend	cycle-c21-mono-legend
cycle-c21-technique	cycle-c21-technique
cycle-cardinal-paladin	cycle-cardinal-paladin
cycle-checkland	cycle-checkland
cycle-chk-deceiver	cycle-chk-deceiver
cycle-chk-dragon	cycle-chk-dragon
cycle-chk-flash-aura	cycle-chk-flash-aura
cycle-chk-honden	cycle-chk-honden
cycle-chk-legendary-land	cycle-chk-legendary-land
cycle-chk-myojin	cycle-chk-myojin
cycle-chk-napland	cycle-chk-napland
cycle-chk-r-flip	cycle-chk-r-flip
cycle-chk-u-flip	cycle-chk-u-flip
cycle-chk-zubera	cycle-chk-zubera
cycle-clb-adventurer	cycle-clb-adventurer
cycle-clb-alt-commander	cycle-clb-alt-commander
cycle-clb-ancient-dragon	cycle-clb-ancient-dragon
cycle-clb-back-enemy-legend	cycle-clb-back-enemy-legend
cycle-clb-backward-ally-legend	cycle-clb-backward-ally-legend
cycle-clb-c-background	cycle-clb-c-background
cycle-clb-c-d20	cycle-clb-c-d20
cycle-clb-dethrone-background	cycle-clb-dethrone-background
cycle-clb-draft-signpost	cycle-clb-draft-signpost
cycle-clb-face-commander	cycle-clb-face-commander
cycle-clb-forward-ally-legend	cycle-clb-forward-ally-legend
cycle-clb-forward-enemy-legend	cycle-clb-forward-enemy-legend
cycle-clb-gem-dragon	cycle-clb-gem-dragon
cycle-clb-god	cycle-clb-god
cycle-clb-invoker	cycle-clb-invoker
cycle-clb-legend-spell	cycle-clb-legend-spell
cycle-clb-orb-of-dragonkind	cycle-clb-orb-of-dragonkind
cycle-clb-precon-background	cycle-clb-precon-background
cycle-clb-r-background	cycle-clb-r-background
cycle-clb-r-mono-legend	cycle-clb-r-mono-legend
cycle-clb-r-two-color-legend	cycle-clb-r-two-color-legend
cycle-clb-thriving-gate	cycle-clb-thriving-gate
cycle-clb-tricolor-legend	cycle-clb-tricolor-legend
cycle-clb-u-background	cycle-clb-u-background
cycle-clb-u-d20	cycle-clb-u-d20
cycle-clb-u-initiative	cycle-clb-u-initiative
cycle-clu-clue-equipment	cycle-clu-clue-equipment
cycle-clu-guild-rare	cycle-clu-guild-rare
cycle-clu-r-hybrid	cycle-clu-r-hybrid
cycle-clu-suspect	cycle-clu-suspect
cycle-clu-unc-hybrid	cycle-clu-unc-hybrid
cycle-cmb1-dual-land	cycle-cmb1-dual-land
cycle-cmd-alt-commander	cycle-cmd-alt-commander
cycle-cmd-enemy-legend	cycle-cmd-enemy-legend
cycle-cmd-face-commander	cycle-cmd-face-commander
cycle-cmd-join-forces	cycle-cmd-join-forces
cycle-cmd-vow	cycle-cmd-vow
cycle-cmm-alt-commander	cycle-cmm-alt-commander
